Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize	InterestingGeneListID
321	-0.506730	0.693881	-1.423565	0.928318	80	71	170	151	0	1
322	0.358241	0.360081	2.173399	0.014875	115	100	170	151	5	1
323	-0.458608	0.676779	-0.634559	0.737269	151	134	170	151	2	1
324	-0.246732	0.597447	-0.856405	0.804570	25	22	170	151	0	1
325	-0.269220	0.606127	-1.655911	0.963924	47	38	170	151	0	1
326	-0.435009	0.668253	-0.619441	0.732302	56	53	170	151	0	1
327	-0.414070	0.660615	0.317208	0.375543	86	72	170	151	1	1
328	0.746451	0.227697	-0.231041	0.591363	129	117	170	151	4	1
329	-0.410469	0.659294	-0.328984	0.628928	76	63	170	151	0	1
330	2.190829	0.014232	1.919371	0.027469	201	175	170	151	10	1
331	0.705227	0.240335	2.031102	0.021122	84	74	170	151	3	1
332	-0.315764	0.623920	-0.725000	0.765994	134	118	170	151	2	1
333	-0.407113	0.658062	0.829941	0.203286	75	63	170	151	1	1
334	-0.359444	0.640385	2.910643	0.001803	134	113	170	151	3	1
335	-0.358145	0.639899	1.309048	0.095259	90	77	170	151	3	1
336	-0.410992	0.659486	-0.523378	0.699705	69	58	170	151	1	1
337	-0.436214	0.668691	-0.629583	0.735639	89	67	170	151	0	1
338	1.171207	0.120758	-0.357436	0.639633	17	14	170	151	1	1
339	-0.456458	0.676006	-1.145072	0.875730	102	90	170	151	1	1
340	-0.349082	0.636501	-1.555462	0.949134	62	46	170	151	1	1
341	-0.417407	0.661837	-1.032307	0.850129	71	57	170	151	0	1
342	-0.463643	0.678587	-0.762094	0.777271	56	44	170	151	0	1
343	-0.440173	0.670126	-1.008888	0.844465	155	134	170	151	4	1
344	-0.386768	0.650557	-0.891899	0.814326	88	75	170	151	3	1
345	-0.486456	0.686724	-1.269633	0.900965	137	111	170	151	0	1
346	-0.475020	0.682656	-1.225867	0.892442	108	92	170	151	2	1
347	-0.459288	0.677024	-1.379599	0.920888	75	64	170	151	1	1
348	-0.461162	0.677697	-0.821742	0.794768	79	70	170	151	0	1
349	-0.518288	0.697929	-0.750638	0.773820	97	86	170	151	1	1
350	-0.210001	0.583170	-0.942867	0.827836	118	99	170	151	2	1
351	-0.366423	0.642993	-0.575371	0.717566	48	42	170	151	0	1
352	-0.203008	0.580439	-0.412287	0.659961	13	12	170	151	0	1
353	-0.423988	0.664241	0.113949	0.454639	70	61	170	151	0	1
354	-0.545551	0.707383	-0.991896	0.840279	126	113	170	151	1	1
355	-0.363545	0.641918	-0.242354	0.595752	70	63	170	151	0	1
356	-0.412264	0.659953	-0.254754	0.600549	389	231	170	151	0	1
357	-0.247365	0.597693	-0.572114	0.716462	52	25	170	151	0	1
358	-0.437396	0.669119	0.461931	0.322065	216	176	170	151	3	1
359	-0.524592	0.700127	-0.826325	0.796079	137	119	170	151	1	1
360	-0.400021	0.655453	-0.029205	0.511650	101	91	170	151	1	1
361	0.246171	0.402775	0.237242	0.406235	86	76	170	151	2	1
362	-0.047759	0.519046	0.437100	0.331020	102	86	170	151	3	1
363	-0.434767	0.668165	-1.110226	0.868109	67	57	170	151	0	1
364	-0.390643	0.651991	-0.873970	0.809433	47	43	170	151	0	1
365	-0.428637	0.665935	-0.571274	0.716177	44	39	170	151	0	1
366	-0.204506	0.581024	-0.857602	0.804903	25	20	170	151	0	1
367	-0.395766	0.653884	0.290097	0.385871	42	39	170	151	1	1
368	-0.289847	0.614042	-1.769591	0.980201	44	35	170	151	0	1
369	-0.248484	0.598126	-0.287289	0.613063	23	19	170	151	0	1
370	-0.796788	0.787544	-1.931115	1.000000	169	143	170	151	2	1
371	-0.836108	0.798863	-1.840911	0.990500	133	112	170	151	0	1
372	-0.428649	0.665940	-0.598798	0.725447	53	44	170	151	0	1
